fecha,categoria,precio_promedio,precio_mediano,estaciones
2026-01-27,Petromax precio mercado,23.99,23.99,102
2026-01-27,Resto mercado,23.88865217391304,23.99,460
2026-01-28,Otra cara,24.99,24.99,1
2026-01-28,Petromax cara,24.071818181818177,23.99,11
2026-01-28,Petromax precio mercado,23.99,23.99,102
2026-01-28,Resto mercado,23.845173913043475,23.99,460
2026-01-29,Otra cara,24.99,24.99,1
2026-01-29,Petromax cara,24.071818181818177,23.99,11
2026-01-29,Petromax precio mercado,23.99,23.99,102
2026-01-29,Resto mercado,23.845391304347825,23.99,460
2026-01-30,Otra cara,24.99,24.99,1
2026-01-30,Petromax cara,24.38090909090909,24.39,11
2026-01-30,Petromax precio mercado,23.99,23.99,102
2026-01-30,Resto mercado,23.84457516339869,23.99,459
2026-01-31,Otra cara,24.99,24.99,1
2026-01-31,Petromax cara,24.38090909090909,24.39,11
2026-01-31,Petromax precio mercado,23.99,23.99,102
2026-01-31,Resto mercado,23.846971677559914,23.99,459
2026-02-02,Otra cara,24.99,24.99,1
2026-02-02,Petromax cara,24.38090909090909,24.39,11
2026-02-02,Petromax precio mercado,23.99,23.99,102
2026-02-02,Resto mercado,23.846971677559914,23.99,459
2026-02-03,Otra cara,24.99,24.99,1
2026-02-03,Petromax cara,24.38090909090909,24.39,11
2026-02-03,Petromax precio mercado,23.99,23.99,102
2026-02-03,Resto mercado,23.840326797385618,23.99,459
2026-02-04,Otra cara,24.99,24.99,1
2026-02-04,Petromax cara,24.38090909090909,24.39,11
2026-02-04,Petromax precio mercado,23.99,23.99,102
2026-02-04,Resto mercado,23.840326797385618,23.99,459
2026-02-05,Otra cara,24.99,24.99,1
2026-02-05,Petromax cara,24.38090909090909,24.39,11
2026-02-05,Petromax precio mercado,23.99,23.99,102
2026-02-05,Resto mercado,23.840326797385618,23.99,459
2026-02-06,Otra cara,24.99,24.99,1
2026-02-06,Petromax cara,24.38090909090909,24.39,11
2026-02-06,Petromax precio mercado,23.99,23.99,102
2026-02-06,Resto mercado,23.83769063180828,23.99,459
2026-02-07,Otra cara,24.99,24.99,1
2026-02-07,Petromax cara,24.38090909090909,24.39,11
2026-02-07,Petromax precio mercado,23.99,23.99,102
2026-02-07,Resto mercado,23.836797385620915,23.99,459
2026-02-08,Otra cara,24.99,24.99,1
2026-02-08,Petromax cara,24.38090909090909,24.39,11
2026-02-08,Petromax precio mercado,23.99,23.99,102
2026-02-08,Resto mercado,23.83919389978213,23.99,459
2026-02-09,Otra cara,24.99,24.99,1
2026-02-09,Petromax cara,24.38090909090909,24.39,11
2026-02-09,Petromax precio mercado,23.99,23.99,102
2026-02-09,Resto mercado,23.83917211328976,23.99,459
2026-02-10,Otra cara,24.99,24.99,1
2026-02-10,Petromax cara,24.38090909090909,24.39,11
2026-02-10,Petromax precio mercado,23.99,23.99,102
