permiso,razon_social,categoria,lat,lng,coordenadas,precio_mediano
PL/4259/EXP/ES/2015,Servicio Cosmart Mitras Sa de Cv,Resto mercado,25.68799,-100.3467,"25.68799,-100.3467",23.79
PL/4279/EXP/ES/2015,Orsan del Norte S.A. de C.V.,Resto mercado,25.68595,-100.3337,"25.68595,-100.3337",23.79
PL/4294/EXP/ES/2015,"Gas Huinala, S.A. de C.V.",Resto mercado,25.72147,-100.3428,"25.72147,-100.3428",23.03
PL/4498/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.72992,-100.2745,"25.72992,-100.2745",23.99
PL/4527/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.74268,-100.3118,"25.74268,-100.3118",23.99
PL/4530/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.6599,-100.3562,"25.6599,-100.3562",23.99
PL/4536/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.77868,-100.1217,"25.77868,-100.1217",23.99
PL/4547/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.67471,-100.4206,"25.67471,-100.4206",23.99
PL/4568/EXP/ES/2015,"Servicios Cumbres, S.A. de C.V.",Resto mercado,25.71691,-100.384,"25.71691,-100.384",23.99
PL/4573/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.76933,-100.4036,"25.76933,-100.4036",23.99
PL/4528/EXP/ES/2015,"Energéticos Guadalupe, S.A. de C.V.",Resto mercado,25.64684,-100.1797,"25.64684,-100.1797",
PL/4622/EXP/ES/2015,"Gasolinera Santa Catarina, S.A. de C.V.",Resto mercado,25.69418,-100.5139,"25.69418,-100.5139",23.69
PL/4672/EXP/ES/2015,Energeticos Lopez Mateos Sa de Cv,Resto mercado,25.69074,-100.2135,"25.69074,-100.2135",22.89
PL/4828/EXP/ES/2015,Mygo Energy S.A. de C.V.,Resto mercado,25.72415,-100.2234,"25.72415,-100.2234",23.99
PL/4852/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.66787,-100.1772,"25.66787,-100.1772",23.99
PL/4858/EXP/ES/2015,"Servicio la Cuchilla, S. A. de C. V.",Resto mercado,25.75564,-100.2455,"25.75564,-100.2455",23.99
PL/4859/EXP/ES/2015,"Servicio Valles de Santo Domingo, S. A. de C. V.",Resto mercado,25.75225,-100.2624,"25.75225,-100.2624",23.99
PL/4921/EXP/ES/2015,"Super Servicio Jardines, S. A. de C. V.",Resto mercado,25.74314,-100.2637,"25.74314,-100.2637",23.99
PL/4925/EXP/ES/2015,"Estacion Las Palomas, S. A. de C. V.",Resto mercado,25.68472,-100.2299,"25.68472,-100.2299",23.99
PL/5061/EXP/ES/2015,Servicio Gas Lincoln S.A. de C.V.,Resto mercado,25.72145,-100.2806,"25.72145,-100.2806",23.03
PL/5062/EXP/ES/2015,Estacion de Servicio Los Angeles Sa de Cv,Resto mercado,25.71785,-100.3101,"25.71785,-100.3101",23.99
PL/5075/EXP/ES/2015,Auto Servicios Gasher S.A. de C.V.,Resto mercado,25.6926,-100.2456,"25.6926,-100.2456",
PL/5241/EXP/ES/2015,Orsan del Norte S.A. de C.V.,Resto mercado,25.69077,-100.2873,"25.69077,-100.2873",23.99
PL/5243/EXP/ES/2015,Organizacion Pego Juarez Sa de Cv,Resto mercado,25.65291,-100.1116,"25.65291,-100.1116",23.99
PL/5292/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.67644,-100.2981,"25.67644,-100.2981",23.99
PL/5294/EXP/ES/2015,Hidrocarburos Las Quintas Sa de Cv,Resto mercado,25.6902,-100.2126,"25.6902,-100.2126",22.89
PL/5296/EXP/ES/2015,"Servicio Colinas, S.A. de C.V.",Resto mercado,25.69548,-100.3807,"25.69548,-100.3807",
PL/5398/EXP/ES/2015,"Estacion 2131, S. A. de C. V.",Resto mercado,25.67952,-100.2579,"25.67952,-100.2579",23.99
PL/5496/EXP/ES/2015,"Monte Cadiz, S. A. de C. V.",Resto mercado,25.61137,-100.0486,"25.61137,-100.0486",23.49
PL/5559/EXP/ES/2015,"Comercializadora Diafer, S.A. de C.V.",Resto mercado,25.6611,-100.2528,"25.6611,-100.2528",23.99
PL/5594/EXP/ES/2015,"Gasolinera 3 Caminos, S. A. de C. V.",Resto mercado,25.66904,-100.1784,"25.66904,-100.1784",23.99
PL/5659/EXP/ES/2015,Hr Sol Servicios Administrativos Fondo 3 S.A de C.V.,Resto mercado,25.72219,-100.2147,"25.72219,-100.2147",23.99
PL/5661/EXP/ES/2015,"Comercializadora Cmba, S.A.P.I. de C.V.",Resto mercado,25.67477,-100.4545,"25.67477,-100.4545",23.99
PL/5709/EXP/ES/2015,Refinados Huinala Sa de Cv,Resto mercado,25.72884,-100.1456,"25.72884,-100.1456",23.39
PL/5767/EXP/ES/2015,"Servicio Vic Mar Tepeyac, S. A. de C. V.",Resto mercado,25.69184,-100.4576,"25.69184,-100.4576",
PL/5825/EXP/ES/2015,Grupo Os la Palma Sa de Cv,Resto mercado,25.57847,-100.0039,"25.57847,-100.0039",23.95
PL/5828/EXP/ES/2015,Grupo Os la Palma Sa de Cv,Resto mercado,25.60084,-99.97197,"25.60084,-99.97197",23.89
PL/5861/EXP/ES/2015,"Gasolinera Bosques del Valle, S.A. de C.V.",Resto mercado,25.63652,-100.3755,"25.63652,-100.3755",
PL/5891/EXP/ES/2015,Gas 53 Sa de Cv,Resto mercado,25.82963,-100.406,"25.82963,-100.406",23.99
PL/5893/EXP/ES/2015,Gasolineria Dafer Sa de Cv,Resto mercado,25.64892,-100.2741,"25.64892,-100.2741",23.98
PL/5902/EXP/ES/2015,Gasolineria el Peñon Sa de Cv,Resto mercado,25.65727,-100.2224,"25.65727,-100.2224",23.98
PL/5957/EXP/ES/2015,Sergio Xavier Garcia Ancira,Resto mercado,25.7957,-100.3898,"25.7957,-100.3898",23.19
PL/6004/EXP/ES/2015,Gosaco Sa de Cv,Resto mercado,25.94336,-100.28,"25.94336,-100.28",23.99
PL/6034/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.73042,-100.1865,"25.73042,-100.1865",23.99
PL/6121/EXP/ES/2015,Petro Sav Lincoln S.A. de C.V.,Resto mercado,25.77459,-100.4284,"25.77459,-100.4284",23.99
PL/6123/EXP/ES/2015,Petro Sav Leones S.A. de C.V.,Resto mercado,25.72883,-100.3945,"25.72883,-100.3945",23.99
PL/6157/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.64064,-100.2827,"25.64064,-100.2827",23.99
PL/6186/EXP/ES/2015,Petro Express Gpe. Sa de Cv,Resto mercado,25.65442,-100.2088,"25.65442,-100.2088",
PL/6333/EXP/ES/2015,Servicio Ancira Viejo S.A. de C.V.,Resto mercado,25.83554,-100.3119,"25.83554,-100.3119",23.99
PL/6356/EXP/ES/2015,Petro Sav Leones S.A. de C.V.,Resto mercado,25.71421,-100.1673,"25.71421,-100.1673",23.99
PL/6444/EXP/ES/2015,Grupo Gas W S.A. de C.V.,Resto mercado,25.61625,-100.2716,"25.61625,-100.2716",23.98
PL/6447/EXP/ES/2015,Grupo Gas W S.A. de C.V.,Resto mercado,25.72988,-100.3687,"25.72988,-100.3687",23.79
PL/6472/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.56279,-99.97826,"25.56279,-99.97826",
PL/6545/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.63417,-100.3063,"25.63417,-100.3063",23.99
PL/6548/EXP/ES/2015,Operadora Zari Sa de Cv,Resto mercado,25.63284,-100.2996,"25.63284,-100.2996",23.99
PL/6549/EXP/ES/2015,Estacion Diaz Ordaz Sa de Cv,Resto mercado,25.67422,-100.4259,"25.67422,-100.4259",23.99
PL/6654/EXP/ES/2015,Gasolinera Cantu Suarez S.A. de C.V.,Resto mercado,25.88611,-100.1016,"25.88611,-100.1016",22.99
PL/6656/EXP/ES/2015,Combustibles Termogas Sa de Cv,Resto mercado,25.66143,-100.1967,"25.66143,-100.1967",23.99
PL/6662/EXP/ES/2015,Combustibles Termogas Sa de Cv,Resto mercado,25.70942,-100.2876,"25.70942,-100.2876",23.99
PL/6791/EXP/ES/2015,Energeticos Enpeco Sa de Cv,Resto mercado,25.9176,-100.1968,"25.9176,-100.1968",22.89
PL/6869/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.70643,-100.3143,"25.70643,-100.3143",23.99
PL/6896/EXP/ES/2015,Servicio Lozano Garza Sa de Cv,Resto mercado,25.76918,-100.3161,"25.76918,-100.3161",23.05
PL/6941/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.6702,-100.3358,"25.6702,-100.3358",23.99
PL/6972/EXP/ES/2015,Valores Energeticos Comerciales y de Servicios Sa,Resto mercado,25.67029,-100.3298,"25.67029,-100.3298",23.29
PL/7048/EXP/ES/2015,"Hidrocarburos Solidaridad, S.A. de C.V.",Resto mercado,25.67477,-100.3577,"25.67477,-100.3577",23.98
PL/7067/EXP/ES/2015,Grupo Garp Sa de Cv,Resto mercado,25.70504,-100.3334,"25.70504,-100.3334",23.99
PL/7104/EXP/ES/2015,Mini Express Churubusco S.A. de C.V.,Resto mercado,25.68854,-100.2679,"25.68854,-100.2679",23.99
