permiso,razon_social,categoria,lat,lng,coordenadas,precio_mediano
PL/7888/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.57028,-100.0145,"25.57028,-100.0145",
PL/7931/EXP/ES/2015,"Servicio Gs Gas, S.A. de C.V.",Resto mercado,25.76172,-100.2625,"25.76172,-100.2625",23.03
PL/7937/EXP/ES/2015,"Servicio Express Lerma, S. A. de C. V.",Resto mercado,25.67445,-100.1977,"25.67445,-100.1977",23.99
PL/7939/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.7147,-100.2525,"25.7147,-100.2525",23.99
PL/7944/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.6864,-100.2642,"25.6864,-100.2642",23.99
PL/7947/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.58733,-100.2587,"25.58733,-100.2587",23.99
PL/7950/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.79216,-100.3274,"25.79216,-100.3274",23.99
PL/7954/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.78846,-100.3224,"25.78846,-100.3224",23.99
PL/7956/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.67683,-100.291,"25.67683,-100.291",23.99
PL/7968/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.73307,-100.2102,"25.73307,-100.2102",23.99
PL/7969/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68144,-100.1689,"25.68144,-100.1689",23.99
PL/7970/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.69644,-100.2614,"25.69644,-100.2614",23.99
PL/7978/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.76765,-100.2416,"25.76765,-100.2416",23.99
PL/7980/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.63786,-100.0861,"25.63786,-100.0861",23.99
PL/8040/EXP/ES/2015,"Stop System Gas, S. A. de C. V.",Resto mercado,25.65589,-100.3055,"25.65589,-100.3055",23.99
PL/8049/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.59771,-100.2635,"25.59771,-100.2635",23.99
PL/8051/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.62562,-100.2734,"25.62562,-100.2734",23.99
PL/8059/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.56649,-100.2385,"25.56649,-100.2385",23.99
PL/8063/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68611,-100.493,"25.68611,-100.493",23.99
PL/8066/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.7031,-100.2315,"25.7031,-100.2315",23.99
PL/8069/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68611,-100.4691,"25.68611,-100.4691",23.99
PL/8070/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.74646,-100.1944,"25.74646,-100.1944",23.99
PL/8071/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.8345,-100.2546,"25.8345,-100.2546",23.99
PL/8074/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.71949,-100.1801,"25.71949,-100.1801",23.99
PL/8076/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.79139,-100.2349,"25.79139,-100.2349",23.99
PL/8077/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.7033,-100.2503,"25.7033,-100.2503",23.99
PL/8081/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.67446,-100.3329,"25.67446,-100.3329",23.99
PL/8084/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.70812,-100.1791,"25.70812,-100.1791",23.99
PL/8088/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.65923,-100.146,"25.65923,-100.146",23.99
PL/8091/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.71771,-100.2355,"25.71771,-100.2355",23.99
PL/8093/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.74138,-100.1583,"25.74138,-100.1583",23.99
PL/8094/EXP/ES/2015,Servicio Galeana Sa de Cv,Resto mercado,25.58573,-100.2565,"25.58573,-100.2565",23.99
PL/8168/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.64872,-100.1893,"25.64872,-100.1893",23.99
PL/8172/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.82126,-100.3214,"25.82126,-100.3214",23.99
PL/8173/EXP/ES/2015,Servicio Galeana Sa de Cv,Resto mercado,25.68298,-100.4852,"25.68298,-100.4852",23.99
PL/8174/EXP/ES/2015,Servicio Galeana Sa de Cv,Resto mercado,25.66196,-100.1524,"25.66196,-100.1524",23.99
PL/8195/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.78071,-100.1979,"25.78071,-100.1979",23.99
PL/8197/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.80285,-100.2766,"25.80285,-100.2766",23.99
PL/8198/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.76353,-100.4006,"25.76353,-100.4006",23.99
PL/8199/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.70077,-100.1636,"25.70077,-100.1636",23.99
PL/8200/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.69741,-100.3565,"25.69741,-100.3565",23.99
PL/8203/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.82234,-100.3218,"25.82234,-100.3218",23.99
PL/8204/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.69842,-100.2952,"25.69842,-100.2952",23.99
PL/8206/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.8148,-100.2172,"25.8148,-100.2172",23.99
PL/8207/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.64467,-100.1859,"25.64467,-100.1859",23.99
PL/8209/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.66107,-100.3985,"25.66107,-100.3985",23.99
PL/8210/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.66235,-100.4583,"25.66235,-100.4583",23.99
PL/8221/EXP/ES/2015,Victor Manuel de Anda Uribe,Resto mercado,25.65837,-100.3649,"25.65837,-100.3649",23.99
PL/8241/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.70346,-100.2389,"25.70346,-100.2389",23.99
PL/8243/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.70356,-100.3035,"25.70356,-100.3035",23.99
PL/8295/EXP/ES/2015,Sergio Xavier Garcia Ancira,Resto mercado,25.66034,-100.3081,"25.66034,-100.3081",23.19
PL/8336/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.67954,-100.2652,"25.67954,-100.2652",23.99
PL/8337/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.7835,-100.2256,"25.7835,-100.2256",23.99
PL/8340/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.66594,-100.2697,"25.66594,-100.2697",23.99
PL/8344/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68674,-100.3416,"25.68674,-100.3416",23.99
PL/8346/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.90576,-100.1614,"25.90576,-100.1614",23.99
PL/8363/EXP/ES/2015,Victor Manuel de Anda Uribe,Resto mercado,25.68479,-100.4801,"25.68479,-100.4801",23.99
PL/8364/EXP/ES/2015,Estacion Plaza Huinala Sa de Cv,Resto mercado,25.74715,-100.1993,"25.74715,-100.1993",23.99
PL/8374/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.62039,-100.1052,"25.62039,-100.1052",23.99
PL/8403/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.89165,-100.1151,"25.89165,-100.1151",23.99
PL/8425/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.74862,-100.5278,"25.74862,-100.5278",23.99
PL/8426/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.72678,-100.5349,"25.72678,-100.5349",23.99
PL/8427/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.74939,-100.2798,"25.74939,-100.2798",23.99
PL/8437/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.78761,-100.4859,"25.78761,-100.4859",23.99
PL/8440/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.71432,-100.3087,"25.71432,-100.3087",23.99
PL/8442/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.76838,-100.4151,"25.76838,-100.4151",23.99
PL/8443/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.87755,-100.2537,"25.87755,-100.2537",23.99
PL/8444/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.72267,-100.1408,"25.72267,-100.1408",23.99
PL/8445/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.67403,-100.1911,"25.67403,-100.1911",23.99
PL/8446/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.67484,-100.1917,"25.67484,-100.1917",23.99
PL/8511/EXP/ES/2015,"Gasolinera 2029, S. A. de C. V.",Resto mercado,25.68238,-100.2774,"25.68238,-100.2774",23.99
PL/8515/EXP/ES/2015,"Energeticos y Lubricantes, S. A. de C. V.",Resto mercado,25.70755,-100.2712,"25.70755,-100.2712",23.89
PL/8517/EXP/ES/2015,"Servicio Lucar, S. A. de C. V.",Resto mercado,25.78931,-100.3219,"25.78931,-100.3219",23.99
PL/8521/EXP/ES/2015,"Morones Servicio Express, S. A. de C. V.",Resto mercado,25.68045,-100.2673,"25.68045,-100.2673",23.99
PL/8566/EXP/ES/2015,"Super Servicio 12052, S.A. de C.V.",Resto mercado,25.68581,-100.3277,"25.68581,-100.3277",23.99
PL/8658/EXP/ES/2015,"Super Servicio Oriente, S. A. de C. V.",Resto mercado,25.70936,-100.1925,"25.70936,-100.1925",23.99
PL/8662/EXP/ES/2015,"Servicio San Bernabe, S. A. de C. V.",Resto mercado,25.75733,-100.3982,"25.75733,-100.3982",23.99
PL/8663/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.79336,-100.2929,"25.79336,-100.2929",23.99
PL/8687/EXP/ES/2015,Servigas Jimal Sa de Cv,Resto mercado,25.77833,-100.2871,"25.77833,-100.2871",23.79
PL/8688/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68759,-100.2964,"25.68759,-100.2964",23.99
PL/8691/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.71088,-100.221,"25.71088,-100.221",23.99
PL/8779/EXP/ES/2015,Estacion de Servicio Pesqueria S.A. de C.V.,Resto mercado,25.78736,-100.0397,"25.78736,-100.0397",23.99
PL/8880/EXP/ES/2015,Servicio Jimal Centro Sa de Cv,Resto mercado,25.67642,-100.3317,"25.67642,-100.3317",23.44
PL/8881/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.65621,-100.4496,"25.65621,-100.4496",23.99
PL/8882/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.69572,-100.2328,"25.69572,-100.2328",23.99
PL/8883/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.67705,-100.4764,"25.67705,-100.4764",23.99
PL/8943/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.66674,-100.2801,"25.66674,-100.2801",23.99
PL/9017/EXP/ES/2015,"Servicio Gasa, S. A. de C. V.",Resto mercado,25.74002,-100.3023,"25.74002,-100.3023",23.99
PL/9077/EXP/ES/2015,"Servigaz Colon, S.A. de C.V.",Resto mercado,25.68344,-100.287,"25.68344,-100.287",23.59
PL/9080/EXP/ES/2015,"Servigaz Gonzalitos, S.A. de C.V.",Resto mercado,25.6974,-100.3511,"25.6974,-100.3511",23.49
PL/9082/EXP/ES/2015,"Rga Servigaz, S.A. de C.V.",Resto mercado,25.69955,-100.2934,"25.69955,-100.2934",23.59
PL/9149/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.64622,-100.0964,"25.64622,-100.0964",23.99
PL/9150/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.60012,-99.97034,"25.60012,-99.97034",23.99
PL/9151/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.7739,-100.3811,"25.7739,-100.3811",23.99
PL/9152/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.7447,-100.1807,"25.7447,-100.1807",23.99
PL/9153/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.67489,-100.3718,"25.67489,-100.3718",23.99
PL/9154/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.74801,-100.3858,"25.74801,-100.3858",23.99
PL/9155/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.77774,-100.2436,"25.77774,-100.2436",23.99
PL/9156/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.65578,-100.1821,"25.65578,-100.1821",23.99
PL/9157/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68669,-100.3123,"25.68669,-100.3123",23.99
PL/9158/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.78467,-100.2669,"25.78467,-100.2669",23.99
PL/9161/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.64812,-100.1885,"25.64812,-100.1885",23.99
PL/9163/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.759,-100.2964,"25.759,-100.2964",23.99
PL/9164/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.78554,-100.3018,"25.78554,-100.3018",23.99
PL/9167/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.69639,-100.1431,"25.69639,-100.1431",23.99
PL/9169/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68346,-100.3162,"25.68346,-100.3162",23.99
PL/9170/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.6489,-100.1435,"25.6489,-100.1435",23.99
PL/9172/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.58971,-100.2495,"25.58971,-100.2495",23.99
PL/9173/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.80798,-100.3897,"25.80798,-100.3897",23.99
PL/9174/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.70952,-100.1816,"25.70952,-100.1816",23.99
PL/9175/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.62226,-100.2813,"25.62226,-100.2813",23.99
PL/9263/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.74791,-100.202,"25.74791,-100.202",23.99
PL/9303/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.7808,-100.2858,"25.7808,-100.2858",23.99
PL/9354/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.5926,-100.0126,"25.5926,-100.0126",
PL/9357/EXP/ES/2015,"Servicio 4949, S. A. de C. V.",Resto mercado,25.70624,-100.1666,"25.70624,-100.1666",23.01
PL/9408/EXP/ES/2015,Estación de Servicio Lienzo Charro S. A. de C. V.,Resto mercado,25.80531,-100.2247,"25.80531,-100.2247",23.99
PL/9492/EXP/ES/2015,"Energeticos del Altiplano, S.A. de C.V.",Resto mercado,25.7733,-100.201,"25.7733,-100.201",23.99
PL/9502/EXP/ES/2015,"Energeticos del Altiplano, S.A. de C.V.",Resto mercado,25.81151,-100.2499,"25.81151,-100.2499",23.99
PL/9526/EXP/ES/2015,Orsan del Norte S.A. de C.V.,Resto mercado,25.66188,-100.4514,"25.66188,-100.4514",23.89
PL/9553/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.75174,-100.2593,"25.75174,-100.2593",23.99
PL/9554/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.79733,-100.3818,"25.79733,-100.3818",23.99
PL/9561/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.66642,-100.2798,"25.66642,-100.2798",23.99
PL/9579/EXP/ES/2015,Servicio en Guerrero Norte Sa de Cv,Resto mercado,25.70564,-100.3099,"25.70564,-100.3099",23.95
PL/9583/EXP/ES/2015,Super Servicio Hercules Sa de Cv,Resto mercado,25.70276,-100.2503,"25.70276,-100.2503",23.95
PL/9617/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.75644,-100.1535,"25.75644,-100.1535",23.99
PL/9647/EXP/ES/2015,Orsan del Norte S.A. de C.V.,Resto mercado,25.738,-100.3279,"25.738,-100.3279",
PL/9678/EXP/ES/2015,"Energeticos del Altiplano, S.A. de C.V.",Resto mercado,25.70471,-100.1557,"25.70471,-100.1557",23.99
PL/9710/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.69675,-100.4538,"25.69675,-100.4538",23.99
PL/9721/EXP/ES/2015,"Servicio Nuevo San Sebastian, S. A. de C. V.",Resto mercado,25.67505,-100.2067,"25.67505,-100.2067",23.99
PL/9766/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.65537,-100.2944,"25.65537,-100.2944",23.99
PL/10021/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.69357,-100.2139,"25.69357,-100.2139",23.99
PL/10074/EXP/ES/2015,"Mas Gas de Apodaca, S.A. de C.V.",Resto mercado,25.74438,-100.2314,"25.74438,-100.2314",23.79
PL/10177/EXP/ES/2015,Gasolinera Jag Sa de Cv,Resto mercado,25.63519,-100.2818,"25.63519,-100.2818",
PL/10187/EXP/ES/2015,Grupo Sepulveda Elizondo S.A. de C.V.,Resto mercado,25.74853,-100.1297,"25.74853,-100.1297",23.99
PL/10247/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.58308,-99.99425,"25.58308,-99.99425",
PL/10250/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.74551,-100.178,"25.74551,-100.178",23.99
PL/10344/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.76801,-100.3939,"25.76801,-100.3939",23.99
PL/10354/EXP/ES/2015,"Administradora del Mercado de Abastos Estrella, Sa",Resto mercado,25.71138,-100.2911,"25.71138,-100.2911",
PL/9945/EXP/ES/2015,Yligarza S.A. de C.V.,Resto mercado,25.77071,-100.2647,"25.77071,-100.2647",23.99
PL/10617/EXP/ES/2015,"Miniexpress Mexico Norte, S de Rl de Cv",Resto mercado,25.64972,-100.1888,"25.64972,-100.1888",23.49
PL/10800/EXP/ES/2015,Carlos Adan Guerra Guerra,Resto mercado,25.64112,-100.0902,"25.64112,-100.0902",22.99
PL/10845/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.73729,-100.3671,"25.73729,-100.3671",23.99
PL/10874/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.76288,-100.3051,"25.76288,-100.3051",23.99
PL/10903/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.72548,-100.2585,"25.72548,-100.2585",23.99
PL/10931/EXP/ES/2015,Isigas Guadalupe Sa de Cv,Resto mercado,25.66982,-100.1706,"25.66982,-100.1706",23.59
PL/10958/EXP/ES/2015,"Servicio Plaza Jardin, S.A. de C.V.",Resto mercado,25.61994,-100.2712,"25.61994,-100.2712",23.99
PL/10961/EXP/ES/2015,"Servicio Plaza Jardin, S.A. de C.V.",Resto mercado,25.70716,-100.2837,"25.70716,-100.2837",23.99
PL/10963/EXP/ES/2015,"Servicio Plaza Jardin, S.A. de C.V.",Resto mercado,25.67811,-100.2314,"25.67811,-100.2314",23.99
PL/10967/EXP/ES/2015,"Servicio Plaza Jardin, S.A. de C.V.",Resto mercado,25.68281,-100.2653,"25.68281,-100.2653",23.99
PL/11021/EXP/ES/2015,Llantygas Sa de Cv,Resto mercado,25.71722,-100.3449,"25.71722,-100.3449",23.89
PL/11232/EXP/ES/2015,Estacion Energetica Los Angeles Sa de Cv,Resto mercado,25.70942,-100.3271,"25.70942,-100.3271",23.79
PL/11308/EXP/ES/2015,Santa Fe Gas&Oil Sa de Cv,Resto mercado,25.5594,-100.0068,"25.5594,-100.0068",22.2
PL/11348/EXP/ES/2015,"Gasolineria Peña, S.A. de C.V.",Resto mercado,25.79861,-100.0912,"25.79861,-100.0912",
PL/11414/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.67444,-100.2132,"25.67444,-100.2132",23.99
PL/11447/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.7771,-100.1824,"25.7771,-100.1824",23.99
PL/11480/EXP/ES/2015,Carlos Enrique Batarse Mena,Resto mercado,25.82875,-100.2304,"25.82875,-100.2304",
PL/11968/EXP/ES/2015,Grupo Operador de Minigasolineras Sa de Cv,Resto mercado,25.7725,-100.2597,"25.7725,-100.2597",23.38
PL/11971/EXP/ES/2015,"Servicio Sesamo, S.A. de C.V.",Resto mercado,25.68306,-100.2806,"25.68306,-100.2806",
PL/12030/EXP/ES/2015,Administradora y Controladora de Carburantes Sa De,Resto mercado,25.69079,-100.315,"25.69079,-100.315",23.97
PL/12056/EXP/ES/2015,"Masabasto Gas, S.A. de C.V.",Resto mercado,25.66555,-100.2661,"25.66555,-100.2661",23.99
PL/12551/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.70514,-100.3487,"25.70514,-100.3487",23.99
PL/12556/EXP/ES/2015,Arnulfo Fernandez Esparza,Resto mercado,25.81082,-100.6083,"25.81082,-100.6083",23.5
PL/12570/EXP/ES/2015,"Servicio Plaza Jardin, S.A. de C.V.",Resto mercado,25.66198,-100.3138,"25.66198,-100.3138",23.99
PL/12571/EXP/ES/2015,Super Servicios la Villa de Guadalupe S.A. de C.V.,Resto mercado,25.67917,-100.2625,"25.67917,-100.2625",22.7
PL/12593/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.67186,-100.3329,"25.67186,-100.3329",23.99
PL/12595/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.65422,-100.2775,"25.65422,-100.2775",23.99
PL/12600/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.71691,-100.3423,"25.71691,-100.3423",23.99
PL/12641/EXP/ES/2015,Super Servicio Libertad Guadalupe S.A. de C.V.,Resto mercado,25.69056,-100.2506,"25.69056,-100.2506",23.49
PL/12702/EXP/ES/2015,Grupo Gasolinero el Milagro Sa de Cv,Resto mercado,25.70414,-100.2871,"25.70414,-100.2871",
PL/12703/EXP/ES/2015,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68443,-100.4365,"25.68443,-100.4365",23.99
PL/12767/EXP/ES/2015,Gustavo Estrada Gonzalez,Resto mercado,25.62556,-100.293,"25.62556,-100.293",23.98
PL/12860/EXP/ES/2015,"Super Servicio Galvan, S. A. de C. V.",Resto mercado,25.70978,-100.264,"25.70978,-100.264",23.99
PL/13413/EXP/ES/2016,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68961,-100.3174,"25.68961,-100.3174",23.99
PL/13579/EXP/ES/2016,"Petromax, S.A. de C.V.",Petromax precio mercado,25.5821,-100.0024,"25.5821,-100.0024",23.99
PL/13580/EXP/ES/2016,"Petromax, S.A. de C.V.",Petromax cara,25.81581,-100.1086,"25.81581,-100.1086",24.39
PL/13582/EXP/ES/2016,"Petromax, S.A. de C.V.",Petromax precio mercado,25.84832,-100.2929,"25.84832,-100.2929",23.99
PL/13583/EXP/ES/2016,"Petromax, S.A. de C.V.",Petromax precio mercado,25.79267,-100.3353,"25.79267,-100.3353",23.99
PL/13609/EXP/ES/2016,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.81698,-100.396,"25.81698,-100.396",23.99
PL/18934/EXP/ES/2016,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.68647,-100.3233,"25.68647,-100.3233",23.99
PL/18939/EXP/ES/2016,"Combustibles Barrio Antiguo, S.A. de C.V.",Resto mercado,25.66434,-100.3064,"25.66434,-100.3064",23.49
PL/19022/EXP/ES/2016,"Petromax, S.A. de C.V.",Petromax cara,25.63159,-100.128,"25.63159,-100.128",24.14
PL/19147/EXP/ES/2016,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.65212,-100.1597,"25.65212,-100.1597",23.99
PL/19230/EXP/ES/2016,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.79909,-100.5698,"25.79909,-100.5698",23.99
PL/19491/EXP/ES/2016,"Gs Gas Q., S.A. de C.V.",Resto mercado,25.66126,-100.2983,"25.66126,-100.2983",23.03
PL/19760/EXP/ES/2016,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.69251,-100.2684,"25.69251,-100.2684",23.99
PL/19858/EXP/ES/2017,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.77592,-100.5661,"25.77592,-100.5661",23.99
PL/19859/EXP/ES/2017,"Servicios Gasolineros de Mexico, S.A. de C.V.",Resto mercado,25.63768,-100.3122,"25.63768,-100.3122",23.99
PL/19868/EXP/ES/2017,Consorcio Ferretero Gonzalez S.A. de C.V.,Resto mercado,25.59928,-99.99925,"25.59928,-99.99925",23.99
